,Location,Cost,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,URL,Yelp,Google,N,Latitude,Longitude
0,albertacos,5.475,0.745,3.5,3.0,2.9,3.75,2.75,4.0,4.0,3.75,4.5,3.45,https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,2,33.1395266,-117.1721626
1,burros and fries,6.99,0.75,3.25,4.5,3.875,3.5,2.875,3.0,3.5,3.5,4.875,3.575,http://www.burrosandfries.com/,3.5,4.1,4,32.8297288,-117.2050566
2,caliente mexican food,5.7875,0.7475,2.75,3.0,2.8333333333333335,3.0,3.625,3.375,3.3,2.95,3.625,3.25,https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,4,32.9161974,-117.2367235
3,california burrito company,5.9,0.686,3.1,4.2,3.3,2.9,2.6,3.0,2.84,3.4,4.6,3.2,https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,5,32.8788215,-117.1668915
4,california burritos,6.312962962962962,0.8233333333333331,3.8814814814814813,3.437037037037037,4.037037037037037,3.9346153846153844,3.951923076923077,3.925925925925926,3.532,4.022222222222222,4.307407407407407,4.152,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,27,32.793464,-117.1560493
5,cancun mexican & seafood,6.733333333333334,0.735,4.05,4.5,3.8333333333333335,3.9,3.9166666666666665,3.4166666666666665,3.3000000000000003,3.8000000000000003,3.9166666666666665,4.1000000000000005,http://cancunmexicanandseafood.com/,4.5,4.1,6,33.0793683,-117.3076099
6,carmen's mexican food,6.5,0.715,3.5,4.25,3.5,4.0,4.0,3.25,2.75,3.75,4.5,3.8,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4.0,4.2,2,32.8352268,-117.1868331
7,chipotle,7.15,0.92,2.5,2.5,3.0,2.8,2.5,3.5,,3.0,3.5,2.75,https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,3.0,4.2,1,33.1280739,-117.2704361
8,colima's mexican food,6.423333333333335,,3.1666666666666665,4.833333333333333,3.8333333333333335,3.8333333333333335,4.0,3.8333333333333335,3.0,3.6666666666666665,4.0,3.6666666666666665,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4.0,4.2,3,32.748619,-117.1398718
9,cortez mexican food,6.25,0.58,3.5,4.0,2.5,3.0,1.5,2.5,2.5,2.8,5.0,3.2,https://www.yelp.com/biz/cortez-mexican-food-bonsall,4.2,4.0,1,33.2909024,-117.2259557
10,cotixan,7.045,0.8600000000000001,3.5,2.5,3.25,3.65,3.5,2.75,3.9,4.0,4.5,3.6,https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,4.0,4.0,2,32.8229419,-117.184444
11,don carlos taco shop,7.75,0.77,3.75,4.1,2.95,3.6500000000000004,4.0,4.0,3.25,3.5,4.5,3.3,https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,4.0,4.5,2,32.8396989,-117.2752812
12,donato's taco shop,6.156666666666666,0.8200000000000001,2.6666666666666665,4.5,3.733333333333333,3.4333333333333336,4.333333333333333,3.8333333333333335,3.6666666666666665,3.4333333333333336,3.5,3.6,http://donatostacoshop.net/,3.5,4.2,3,32.8789011,-117.1688014
13,el cuervo,6.45,0.6950000000000001,3.5,4.25,3.75,3.75,3.5,3.75,4.5,3.75,3.5,3.8,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4.0,4.3,2,32.7500492,-117.1636872
14,el dorado mexican food,7.17,1.01,4.25,3.875,3.925,3.75,3.275,3.25,3.875,4.0,3.575,4.025,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4.0,4,33.4841317,-117.1428939
15,el indio,7.84,,4.0,4.0,3.5,4.0,4.5,4.0,3.5,3.5,4.5,4.0,http://elindiosandiego.com/,3.5,3.9,1,32.7423252,-117.180125
16,el nopalito,4.87,0.74,3.25,3.5,2.0,2.2,3.25,4.75,3.0,2.75,3.25,2.6,https://www.yelp.com/biz/el-nopalito-encinitas,4.0,4.0,2,33.0367532,-117.2796615
17,el pollo loco,5.99,0.61,2.0,3.0,3.8,2.5,2.5,3.0,2.5,3.0,2.6,3.2,https://www.yelp.com/biz/el-pollo-loco-oceanside-5,3.5,4.1,1,33.1815844,-117.2959464
18,el portal fresh mexican grill,7.025,0.7949999999999999,3.75,4.0,3.75,2.5,2.625,3.0,2.5,3.25,2.85,3.425,https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4.0,4.4,2,32.8175541,-117.1806305
19,el pueblo mexican food,4.99,0.67,4.5,4.5,3.5,4.0,4.5,5.0,2.5,4.5,5.0,4.3,https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4.0,4.7,1,33.0269045,-117.2731687
20,el rey moro,8.200000000000001,0.8166666666666668,3.0,3.6666666666666665,3.1666666666666665,3.1666666666666665,3.3333333333333335,3.6666666666666665,2.8333333333333335,3.3333333333333335,4.833333333333333,3.6666666666666665,https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4.0,3.8,3,32.8338051,-117.1955713
21,el torrito foods,4.74,0.68,3.25,4.5,3.0,2.75,2.65,4.0,3.0,2.75,5.0,2.85,https://www.yelp.com/biz/el-torito-foods-vista-2,4.0,4.4,2,33.191101,-117.2790471
